,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,games_draw_home_team,games_draw_away_team,League_1.0,League_1729.0,League_4769.0,League_7809.0,League_10257.0,League_13274.0,League_15722.0,League_17642.0,League_19694.0,League_21518.0,League_24558.0,B365_Win,B365_Draw,B365_Defeat,BW_Win,BW_Draw,BW_Defeat,label
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.3138041733547351,0.2768860353130016,0.40930979133226325,0.3078247766655903,0.27941018189645894,0.4127650414379507,2.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.3271786022433132,0.28628127696289907,0.3865401207937877,0.2904929577464789,0.3001760563380282,0.409330985915493,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.6728971962616822,0.20934579439252335,0.11775700934579439,0.6722689075630252,0.226890756302521,0.10084033613445377,2.0
3,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.2074074074074074,0.2592592592592593,0.5333333333333333,0.19271727928546892,0.2744761250429406,0.5328065956715906,2.0
4,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.5352112676056339,0.26760563380281693,0.1971830985915493,0.5657593688362919,0.25499013806706117,0.17925049309664695,1.0
5,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.5538013116346855,0.25382560116589753,0.19237308719941704,0.5632691700852004,0.26506784474597667,0.17166298516882295,2.0
6,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.4166666666666667,0.2777777777777778,0.3055555555555556,0.4112271540469974,0.28720626631853785,0.30156657963446476,2.0
7,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.5521375611295157,0.263448493453226,0.18441394541725822,0.5437462517491838,0.26707536482974614,0.18917838342107016,2.0
8,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.29352734570998495,0.28901154039136984,0.41746111389864526,0.29277566539923955,0.2750316856780735,0.43219264892268694,2.0
10,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.28624535315985133,0.2775712515489468,0.43618339529120204,0.315220985341122,0.27642455637606084,0.40835445828281713,0.0
11,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.1658110129961569,0.2533223809663508,0.5808666060374923,0.16337648823187342,0.264285495669207,0.5723380160989195,1.0
12,3.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.6687079676631565,0.21003298753392446,0.12125904480291906,0.6935630099728015,0.20036264732547598,0.10607434270172258,2.0
13,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.5808666060374923,0.2533223809663508,0.1658110129961569,0.598705501618123,0.2394822006472492,0.16181229773462785,2.0
14,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.6500776404176282,0.2161921021250311,0.13373025745734066,0.6197403614064846,0.2364798747472112,0.14377976384630442,2.0
15,2.0,-1.0,2.0,2.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.8250825082508252,0.1254125412541254,0.0495049504950495,0.7903266926466839,0.14531813380922895,0.06435517354408711,2.0
16,-4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.3579175704989154,0.28416485900216926,0.3579175704989154,0.37572254335260113,0.27745664739884396,0.34682080924855485,2.0
17,-1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.11475409836065573,0.22950819672131145,0.6557377049180327,0.13987138263665594,0.23311897106109325,0.6270096463022508,0.0
18,4.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.2113142708725288,0.2407870507573815,0.5478986783700897,0.1991450842343475,0.2516972592406337,0.5491576565250189,0.0
19,-3.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.31718569780853517,0.2768166089965398,0.405997693194925,0.32727272727272727,0.2727272727272727,0.39999999999999997,0.0
20,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.40070832279281565,0.27928155831014423,0.32001011889704023,0.43829605051910525,0.27646366263512795,0.28524028684576685,1.0
21,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.15975352958634237,0.2551618875337413,0.5850845828799163,0.16340361445783133,0.2567771084337349,0.5798192771084337,0.0
22,6.0,14.0,5.0,8.0,0.0,1.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.3661971830985915,0.28169014084507044,0.35211267605633795,0.37005430566330483,0.28782001551590375,0.3421256788207913,2.0
23,-1.0,-8.0,4.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.4917509313464608,0.2846194784459819,0.22362959020755718,0.47817557626287394,0.27954879843060326,0.2422756253065228,2.0
24,0.0,-7.0,3.0,1.0,0.0,0.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.5433938829374321,0.2685918335662164,0.18801428349635152,0.5189873417721519,0.25949367088607594,0.22151898734177217,2.0
25,6.0,11.0,5.0,6.0,0.0,0.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.538243626062323,0.2691218130311615,0.19263456090651557,0.51438349828878,0.2687077976135418,0.2169087040976783,2.0
26,-3.0,1.0,1.0,5.0,0.0,1.0,4.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.4942894589028271,0.27710166635461525,0.2286088747425576,0.4600811907983762,0.27604871447902574,0.2638700947225981,0.0
27,-6.0,2.0,1.0,4.0,0.0,0.0,5.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.48044136239990803,0.27807363702540133,0.2414850005746906,0.4652686762778506,0.2791612057667104,0.25557011795543905,2.0
28,-10.0,-5.0,0.0,2.0,0.0,0.0,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.4361833952912019,0.2862453531598513,0.27757125154894674,0.4228187919463088,0.28859060402684567,0.28859060402684567,1.0
29,-9.0,10.0,1.0,5.0,0.0,0.0,1.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.16641901931649333,0.26151560178306094,0.5720653789004458,0.16340361445783133,0.2567771084337349,0.5798192771084337,2.0
30,8.0,-2.0,5.0,2.0,0.0,0.0,4.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.6292134831460674,0.23595505617977527,0.1348314606741573,0.6217616580310881,0.22694300518134716,0.15129533678756477,1.0
31,-4.0,-2.0,2.0,2.0,0.0,0.0,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.5143906919779547,0.2614819350887937,0.2241273729332517,0.477029702970297,0.2746534653465347,0.2483168316831683,1.0
32,2.0,11.0,6.0,7.0,1.0,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.27631578947368424,0.27631578947368424,0.4473684210526316,0.2750975159104907,0.27099158283719976,0.4539109012523096,0.0
33,11.0,-10.0,7.0,0.0,0.0,0.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.7271285034373347,0.18759915388683238,0.0852723426758329,0.7424200470718537,0.16468226498684754,0.09289768794129862,2.0
34,8.0,-2.0,5.0,4.0,0.0,0.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.5518087063151441,0.26057633353770693,0.187614960147149,0.5177664974619288,0.266497461928934,0.21573604060913704,0.0
35,-2.0,-1.0,2.0,5.0,0.0,0.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.3756449948400413,0.28895768833849333,0.33539731682146545,0.3708987161198288,0.2796005706134094,0.34950071326676174,2.0
36,8.0,8.0,5.0,6.0,1.0,0.0,4.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0.42669584245076586,0.2844638949671772,0.2888402625820569,0.4324324324324324,0.28378378378378377,0.28378378378378377,2.0
37,-3.0,-7.0,2.0,2.0,1.0,0.0,4.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.4473684210526316,0.27631578947368424,0.27631578947368424,0.44217687074829937,0.27891156462585037,0.27891156462585037,2.0
38,-12.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0.47134935304990755,0.27726432532347506,0.2513863216266174,0.45379876796714574,0.2792607802874743,0.2669404517453799,1.0
39,11.0,-7.0,7.0,2.0,1.0,0.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.8031206975676917,0.13423588802202846,0.06264341441027994,0.788069835111542,0.1394277400581959,0.07250242483026187,2.0
40,-1.0,-4.0,2.0,4.0,0.0,0.0,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.5220012055455093,0.26100060277275466,0.21699819168173598,0.5183052981919583,0.2707564990555006,0.21093820275254116,2.0
41,6.0,8.0,4.0,5.0,0.0,1.0,2.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.3239263803680982,0.2846625766871166,0.3914110429447853,0.3029259896729776,0.28399311531841653,0.41308089500860584,2.0
42,11.0,0.0,7.0,3.0,1.0,0.0,2.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.7512991833704529,0.1633259094283593,0.08537490720118782,0.7250193648334624,0.17428350116188998,0.10069713400464755,2.0
43,8.0,-3.0,5.0,2.0,2.0,0.0,2.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0.577454180266131,0.259854381119759,0.16269143861410998,0.5663620876568066,0.26266067833359147,0.17097723400960202,2.0
44,-1.0,-9.0,5.0,2.0,0.0,0.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0.6866642573183954,0.19660281893747744,0.11673292374412723,0.6728538283062645,0.20185614849187936,0.12529002320185617,2.0
