,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,games_draw_home_team,games_draw_away_team,League_1.0,League_1729.0,League_4769.0,League_7809.0,League_10257.0,League_13274.0,League_15722.0,League_17642.0,League_19694.0,League_21518.0,League_24558.0,B365_Win,B365_Draw,B365_Defeat,BW_Win,BW_Draw,BW_Defeat,label
4155,-3.0,4.0,8.0,8.0,1.0,2.0,5.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.3145253526496378,0.2954632100648113,0.39001143728555093,0.3328456474030724,0.2867593269934162,0.38039502560351124,0.0
4156,-5.0,-17.0,6.0,4.0,2.0,1.0,4.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.43391066545123064,0.2789425706472197,0.2871467639015497,0.41354540790148797,0.2863006670087225,0.30015392508978966,1.0
4157,19.0,13.0,13.0,12.0,0.0,3.0,4.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0.4871794871794872,0.25641025641025644,0.25641025641025644,0.4751131221719457,0.27149321266968324,0.25339366515837103,2.0
4158,-8.0,5.0,6.0,7.0,2.0,3.0,2.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.39001143728555093,0.2954632100648113,0.3145253526496378,0.38216243148978574,0.293971101145989,0.32386646736422514,0.0
4159,-2.0,-1.0,2.0,2.0,0.0,0.0,1.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0.4645476772616137,0.2787286063569682,0.2567237163814181,0.4452054794520548,0.28767123287671237,0.2671232876712329,1.0
4160,4.0,1.0,10.0,6.0,2.0,1.0,6.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.5330932012606935,0.2636650157586673,0.2032417829806394,0.5221932114882506,0.2654482158398608,0.2123585726718886,0.0
4161,5.0,-6.0,10.0,7.0,1.0,2.0,1.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0.5335230304108126,0.27120754045882983,0.19526942913035747,0.5182926829268292,0.274390243902439,0.20731707317073167,2.0
4162,6.0,-5.0,9.0,9.0,0.0,1.0,5.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.3625285605483625,0.2878903274942879,0.3495811119573496,0.3539111200482606,0.2986125075407199,0.34747637241101953,1.0
4163,27.0,-23.0,14.0,2.0,6.0,0.0,0.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.7844827586206897,0.1400862068965517,0.07543103448275863,0.7641196013289036,0.1528239202657807,0.0830564784053156,2.0
4164,-17.0,10.0,4.0,10.0,0.0,0.0,5.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.42478852519308574,0.27914674512688487,0.29606472968002945,0.40639082343301924,0.3015157722244981,0.29209340434248254,0.0
4165,-18.0,-5.0,3.0,6.0,1.0,2.0,7.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.3053892215568862,0.2874251497005988,0.40718562874251496,0.3015157722244982,0.2920934043424826,0.40639082343301935,1.0
4166,3.0,4.0,9.0,9.0,0.0,6.0,5.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0.35356969402622634,0.29917435648373,0.34725594949004374,0.35359116022099446,0.292817679558011,0.35359116022099446,1.0
4167,2.0,-8.0,10.0,6.0,5.0,1.0,5.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0.7329742821632302,0.1695401383090602,0.09748557952770963,0.7030022330659168,0.1869985939955339,0.10999917293854934,2.0
4168,7.0,-5.0,11.0,6.0,3.0,1.0,0.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0.4864864864864865,0.2702702702702703,0.24324324324324326,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.0
